"ID.Empleado","Edad","Género","Estado.civil","Nivel.educativo","Especialización","Años.trabajando","Compañías.empleadoras","Departamento","Cargo","Banda.laboral","Sede","Frecuencia.de.viajes","Distancia.al.hogar","Ingresos.mensuales","Nivel.de.stock.options","Horas.extraordinarias","Sesiones.de.formación","Años.en.la.empresa","Años.en.el.cargo","Años.sin.promocionar","Años.con.el.mismo.jefe","X..Incremento.salarial","Rendimiento","Satisfacción.con.el.trabajo","Satisfacción.con.el.ambiente","Satisfacción.con.las.relaciones","Nivel.de.involucración","Balance.de.la.vida.laboral","Estado.de.la.relación.laboral","Tipo.de.desvinculación","Razón.de.la.desvinculación","Turnover","GrupoEdad","Satisfaccion_bucket","renuncia_voluntaria","renuncia_voluntaria_int"
"ECU-0108",25,"Masculino","Soltero","3","Marketing",6,"1","Ventas","Ejecutivo de ventas","2","Bilbao","Viajes ocasionales",5,5744,"0",NA,1,6,4,0,3,11,3,"3","3","4","2","3","Finalizada","Voluntaria","Dimisión",1,"25-34","3","1","1"
"ECU-0125",31,"Masculino","Casado","4","Ciencias de la vida",12,"4","Ventas","Ejecutivo de ventas","2","Bilbao","Viajes ocasionales",6,6172,"0",NA,3,7,7,7,7,18,3,"3","2","2","1","2","Finalizada","Voluntaria","Dimisión",1,"25-34","3","1","1"
"ECU-0133",31,"Femenino","Casado","3","Ciencias de la vida",4,"3","Ventas","Ejecutivo de ventas","2","Bilbao","Viajes ocasionales",20,4559,"1",NA,2,2,2,2,2,11,3,"3","2","3","1","3","Finalizada","Voluntaria","Dimisión",1,"25-34","3","1","1"
"ECU-0206",29,"Femenino","Casado","3","Marketing",10,"1","Ventas","Ejecutivo de ventas","3","Barcelona","Viajes ocasionales",27,7639,"3",NA,3,10,4,1,9,22,4,"4","2","4","3","2","Finalizada","Voluntaria","Dimisión",1,"25-34","4","1","1"
"ECU-0211",32,"Masculino","Casado","4","Medicina",14,"1","Ventas","Ejecutivo de ventas","3","Bilbao","Viajes ocasionales",4,10400,"0",NA,2,14,8,9,8,11,3,"4","4","3","1","2","Finalizada","Voluntaria","Dimisión",1,"25-34","4","1","1"
"ECU-0217",30,"Femenino","Soltero","4","Marketing",9,"5","Ventas","Ejecutivo de ventas","2","Bilbao","Viajes frecuentes",26,6696,"0",NA,5,6,3,0,1,15,3,"1","3","3","2","2","Finalizada","Voluntaria","Dimisión",1,"25-34","1","1","1"
"ECU-0294",26,"Masculino","Soltero","4","Marketing",8,"1","Ventas","Ejecutivo de ventas","2","Barcelona","Viajes ocasionales",4,5828,"0",NA,0,8,7,7,4,12,3,"4","4","2","2","3","Finalizada","Voluntaria","Dimisión",1,"25-34","4","1","1"
"ECU-0364",33,"Femenino","Soltero","3","Marketing",1,"1","Ventas","Representante de ventas","1","Bilbao","Viajes ocasionales",5,2851,"0",NA,2,1,0,0,0,13,2,"3","4","2","3","3","Finalizada","Voluntaria","Dimisión",1,"25-34","3","1","1"
"ECU-0379",34,"Masculino","Soltero","3","Marketing",9,"8","Ventas","Ejecutivo de ventas","2","Bilbao","Sin desplazamientos",19,5304,"0",NA,3,5,2,0,4,13,1,"4","1","2","4","2","Finalizada","Voluntaria","Dimisión",1,"25-34","4","1","1"
"ECU-0416",34,"Femenino","Divorciado","2","Marketing",3,"0","Ventas","Representante de ventas","1","Madrid","Viajes frecuentes",6,2351,"1",NA,3,2,2,1,0,16,3,"3","4","4","1","2","Finalizada","Voluntaria","Dimisión",1,"25-34","3","1","1"
"ECU-0470",32,"Masculino","Casado","4","Otras",6,"8","Ventas","Ejecutivo de ventas","2","Madrid","Sin desplazamientos",11,4707,"0",NA,2,4,2,1,2,12,3,"3","4","4","4","3","Finalizada","Voluntaria","Dimisión",1,"25-34","3","1","1"
"ECU-0481",30,"Masculino","Casado","4","Ciencias de la vida",1,"1","Ventas","Representante de ventas","1","Bilbao","Viajes frecuentes",12,2033,"1",NA,2,1,0,0,0,18,3,"1","2","3","2","4","Finalizada","Voluntaria","Dimisión",1,"25-34","1","1","1"
"ECU-0483",31,"Masculino","Divorciado","4","Medicina",9,"2","Ventas","Ejecutivo de ventas","2","Madrid","Viajes ocasionales",13,4233,"0",NA,2,3,1,1,2,17,2,"1","2","3","3","1","Finalizada","Voluntaria","Dimisión",1,"25-34","1","1","1"
"ECU-0496",27,"Masculino","Divorciado","1","Marketing",5,"0","Ventas","Representante de ventas","1","Bilbao","Viajes ocasionales",2,3041,"1",NA,3,4,3,0,2,11,3,"1","3","2","3","3","Finalizada","Voluntaria","Dimisión",1,"25-34","1","1","1"
"ECU-0574",26,"Masculino","Soltero","3","Grado técnico",6,"6","Ventas","Ejecutivo de ventas","2","Bilbao","Viajes ocasionales",8,5326,"0",NA,2,4,3,1,2,17,3,"1","4","3","2","2","Finalizada","Voluntaria","Dimisión",1,"25-34","1","1","1"
"ECU-0592",33,"Femenino","Soltero","3","Marketing",6,"5","Ventas","Ejecutivo de ventas","2","Bilbao","Viajes ocasionales",16,5324,"0",NA,3,3,2,0,2,15,3,"1","1","3","3","3","Finalizada","Voluntaria","Dimisión",1,"25-34","1","1","1"
"ECU-0684",25,"Masculino","Casado","2","Marketing",1,"1","Ventas","Representante de ventas","1","Bilbao","Viajes ocasionales",19,2413,"3",NA,2,1,0,0,0,18,3,"2","3","3","2","3","Finalizada","Voluntaria","Dimisión",1,"25-34","2","1","1"
"ECU-0749",26,"Masculino","Soltero","2","Medicina",7,"8","Ventas","Ejecutivo de ventas","2","Barcelona","Sin desplazamientos",29,4969,"0",NA,6,2,2,2,2,18,3,"1","2","4","1","3","Finalizada","Voluntaria","Dimisión",1,"25-34","1","1","1"
"ECU-0830",33,"Femenino","Soltero","4","Marketing",6,"0","Ventas","Ejecutivo de ventas","2","Madrid","Viajes ocasionales",9,8224,"0",NA,3,5,2,0,3,17,3,"1","1","1","3","3","Finalizada","Voluntaria","Dimisión",1,"25-34","1","1","1"
"ECU-0837",29,"Femenino","Casado","1","Ciencias de la vida",11,"1","Ventas","Ejecutivo de ventas","3","Bilbao","Viajes ocasionales",23,7336,"1",NA,3,11,8,3,10,13,3,"1","4","1","2","1","Finalizada","Voluntaria","Dimisión",1,"25-34","1","1","1"
"ECU-0912",25,"Masculino","Soltero","1","Ciencias de la vida",1,"1","Ventas","Representante de ventas","1","Madrid","Viajes frecuentes",24,1118,"0",NA,4,1,0,1,0,14,3,"4","3","4","1","3","Finalizada","Voluntaria","Dimisión",1,"25-34","4","1","1"
"ECU-0953",31,"Femenino","Soltero","3","Ciencias de la vida",3,"1","Ventas","Representante de ventas","1","Bilbao","Viajes frecuentes",1,2302,"0",NA,2,3,2,2,2,11,2,"2","4","1","3","4","Finalizada","Voluntaria","Dimisión",1,"25-34","2","1","1"
"ECU-1013",31,"Femenino","Soltero","4","Ciencias de la vida",1,"1","Ventas","Representante de ventas","1","Madrid","Viajes frecuentes",1,1359,"0",NA,3,1,0,0,0,12,3,"3","2","2","1","3","Finalizada","Voluntaria","Dimisión",1,"25-34","3","1","1"
"ECU-1022",25,"Masculino","Casado","2","Ciencias de la vida",6,"3","Ventas","Representante de ventas","1","Barcelona","Viajes ocasionales",9,4400,"0",NA,2,3,2,2,2,12,3,"1","1","1","2","3","Finalizada","Voluntaria","Dimisión",1,"25-34","1","1","1"
"ECU-1057",28,"Masculino","Casado","3","Grado técnico",5,"3","Ventas","Representante de ventas","1","Barcelona","Viajes frecuentes",1,2909,"1",NA,3,3,2,1,2,15,3,"3","1","4","3","4","Finalizada","Voluntaria","Dimisión",1,"25-34","3","1","1"
"ECU-1058",29,"Femenino","Soltero","3","Grado técnico",7,"5","Ventas","Ejecutivo de ventas","2","Barcelona","Viajes frecuentes",13,5765,"0",NA,4,5,3,0,0,11,3,"2","1","1","3","1","Finalizada","Voluntaria","Dimisión",1,"25-34","2","1","1"
"ECU-1059",34,"Femenino","Soltero","4","Medicina",16,"0","Ventas","Ejecutivo de ventas","2","Bilbao","Viajes ocasionales",24,4599,"0",NA,2,15,9,10,10,23,4,"2","1","3","2","4","Finalizada","Voluntaria","Dimisión",1,"25-34","2","1","1"
"ECU-1107",30,"Masculino","Casado","3","Ciencias de la vida",10,"1","Ventas","Ejecutivo de ventas","2","Madrid","Viajes ocasionales",1,9714,"1",NA,4,10,8,6,7,11,3,"1","2","4","2","3","Finalizada","Voluntaria","Dimisión",1,"25-34","1","1","1"
"ECU-1238",32,"Masculino","Soltero","2","Ciencias de la vida",10,"6","Ventas","Ejecutivo de ventas","2","Bilbao","Viajes ocasionales",1,6735,"0",NA,2,0,0,0,0,15,3,"2","1","2","1","3","Finalizada","Voluntaria","Dimisión",1,"25-34","2","1","1"
"ECU-1250",29,"Femenino","Soltero","3","Marketing",2,"1","Ventas","Representante de ventas","1","Barcelona","Viajes ocasionales",9,2760,"0",NA,3,2,2,2,2,13,3,"2","2","3","1","3","Finalizada","Voluntaria","Dimisión",1,"25-34","2","1","1"
"ECU-1256",33,"Femenino","Soltero","3","Ciencias de la vida",11,"2","Ventas","Ejecutivo de ventas","3","Bilbao","Viajes ocasionales",16,8564,"0",NA,2,0,0,0,0,20,4,"1","1","3","3","2","Finalizada","Voluntaria","Dimisión",1,"25-34","1","1","1"
"ECU-1258",31,"Masculino","Casado","4","Marketing",10,"2","Ventas","Ejecutivo de ventas","3","Bilbao","Viajes ocasionales",16,8161,"3",NA,2,1,0,0,0,13,3,"3","1","1","3","3","Finalizada","Voluntaria","Dimisión",1,"25-34","3","1","1"
"ECU-1327",32,"Masculino","Soltero","4","Marketing",7,"7","Ventas","Ejecutivo de ventas","2","Barcelona","Viajes ocasionales",2,9907,"0",NA,3,2,2,2,2,12,3,"2","3","3","2","2","Finalizada","Voluntaria","Dimisión",1,"25-34","2","1","1"
"ECU-1339",30,"Masculino","Soltero","3","Medicina",1,"1","Ventas","Representante de ventas","1","Bilbao","Viajes ocasionales",9,1081,"0",NA,3,1,0,0,0,13,3,"4","2","3","3","2","Finalizada","Voluntaria","Dimisión",1,"25-34","4","1","1"
"ECU-1366",29,"Masculino","Soltero","3","Grado técnico",1,"1","Ventas","Representante de ventas","1","Bilbao","Viajes frecuentes",24,1091,"0",NA,3,1,0,0,0,17,2,"1","3","4","4","3","Finalizada","Voluntaria","Dimisión",1,"25-34","1","1","1"
"ECU-1396",31,"Masculino","Casado","4","Marketing",10,"1","Ventas","Ejecutivo de ventas","2","Barcelona","Viajes frecuentes",26,5617,"0",NA,4,10,7,0,8,11,3,"4","1","3","3","3","Finalizada","Voluntaria","Dimisión",1,"25-34","4","1","1"
